pred,xmed,ymed,actual
1.43,324,267,2
1.55,322,264,2.2
1.52,327,285,2.4
1.59,334,286,2.6
1.74,326,269,2.8
1.65,325,261,3
1.78,320,267,3.2
1.83,327,267,3.4
1.81,331,279,3.6
1.9,322,271,3.8
1.92,325,265,4
2.05,318,258,4.2
2.26,324,265,4.4
2.26,331,256,4.6
2.36,336,264,4.8
2.43,318,264,5
1.52,428,373,2
1.65,419,361,2.2
1.85,313,250,2.4
2.04,314,224,2.6
1.88,309,234,2.8
2.07,317,234,3
2.18,325,228,3.2
2.32,319,241,3.4
2.6,317,252,3.6
2.44,317,232,3.8
2.41,319,249,4
2.75,329,246,4.2
2.89,325,234,4.4
2.64,328,242,4.6
3.29,335,237,4.8
3.7,326,211,5
3.71,324,217,5.2
3.26,349,228,5.4
3.76,324,222,5.6
4.69,328,217,5.8
4.82,337,217,6
5.31,327,217,6.2
10.22,336,220,6.4
6.62,335,215,6.6
7.33,333,204,6.8
6.24,337,205,7
6.9,332,201,7.2
6.66,323,220,7.4
5.56,316,212,7.6
6.49,339,214,7.8
7.44,312,210,8
1.89,319,249,2.1
1.97,331,236,2.3
1.97,314,259,2.5
1.93,320,241,2.7
1.95,318,243,2.9
2.25,331,229,3.1
2.31,322,214,3.3
2.46,334,232,3.5
2.57,321,226,3.7
2.92,314,225,3.9
3.09,330,226,4.1
3.27,331,216,4.3
3.29,337,205,4.5
3.59,335,197,4.7
3.29,340,215,4.9
,,,
